symptoms,label
"nasal congestion, itchy eyes, sneezing, runny nose",Allergic Rhinitis
"shortness of breath, chest tightness, coughing, wheezing",Asthma
"coughing, chest tightness",Asthma
"abdominal pain, diarrhea, vomiting, fever",Gastroenteritis
"high fever, stiff neck",Meningitis
"loss of appetite, fever, rash",Chickenpox
"fever, loss of appetite",Chickenpox
"shortness of breath, chest pain",Pneumonia
"stiff neck, high fever",Meningitis
"high fever, headache",Meningitis
"nasal congestion, sneezing, itchy eyes",Allergic Rhinitis
"runny nose, sneezing",Common Cold
"coughing, wheezing, chest tightness",Asthma
"nausea, sweats, high fever",Malaria
"sneezing, mild headache",Common Cold
"headache, nausea, high fever, chills",Malaria
"runny nose, mild headache, sore throat",Common Cold
"chest pain, cough, shortness of breath, fever",Pneumonia
"nasal congestion, runny nose, headache, facial pain",Sinusitis
"chest pain, persistent cough",Tuberculosis
"chest discomfort, fatigue, persistent cough with mucus",Bronchitis
"chest pain, cough, fever",Pneumonia
"runny nose, mild headache, sneezing",Common Cold
"high fever, joint pain, headache, rash",Dengue
"muscle pain, chills, sore throat",Flu
"fatigue, high fever",COVID-19
"shortness of breath, fever, chest pain, cough",Pneumonia
"fever, cough, muscle pain, chills, fatigue",Flu
"headache, high fever, rash, muscle pain, joint pain",Dengue
"sore throat, fatigue, muscle pain, cough, chills",Flu
"sneezing, runny nose",Allergic Rhinitis
"shortness of breath, cough, fever, chest pain",Pneumonia
"fatigue, fever, loss of appetite",Chickenpox
"muscle pain, cough, fatigue, sore throat, chills",Flu
"fever, fatigue, rash",Chickenpox
"nausea, headache, dizziness, light sensitivity, vomiting",Migraine
"persistent cough, night sweats",Tuberculosis
"rash, fatigue, loss of appetite, fever",Chickenpox
"chest discomfort, persistent cough with mucus",Bronchitis
"light sensitivity, headache",Migraine
"headache, sensitivity to light, stiff neck",Meningitis
"sore throat, sneezing, mild headache",Common Cold
"persistent cough with mucus, fatigue, chest discomfort",Bronchitis
"mild headache, sore throat, sneezing, runny nose",Common Cold
"sneezing, mild headache",Common Cold
"vomiting, nausea",Gastroenteritis
"sore throat, mild headache, runny nose, sneezing",Common Cold
"chest pain, persistent cough",Tuberculosis
"facial pain, nasal congestion, headache, runny nose",Sinusitis
"itchy eyes, runny nose",Allergic Rhinitis
"fever, shortness of breath, chest pain",Pneumonia
"shortness of breath, dry cough",COVID-19
"headache, joint pain, high fever, muscle pain, rash",Dengue
"weight loss, persistent cough, chest pain, night sweats",Tuberculosis
"sweats, chills, headache",Malaria
"runny nose, sneezing, itchy eyes, nasal congestion",Allergic Rhinitis
"fever, nausea, abdominal pain",Gastroenteritis
"high fever, fatigue, shortness of breath, dry cough, loss of taste",COVID-19
"high fever, muscle pain",Dengue
"muscle pain, cough",Flu
"fatigue, fever, chills, cough, muscle pain",Flu
"chest pain, cough, shortness of breath",Pneumonia
"diarrhea, nausea, vomiting, fever, abdominal pain",Gastroenteritis
"abdominal pain, vomiting, fever, diarrhea, nausea",Gastroenteritis
"fatigue, persistent cough with mucus, chest discomfort",Bronchitis
"cough, chills, muscle pain, sore throat",Flu
"dizziness, nausea, light sensitivity, vomiting, headache",Migraine
"fever, fatigue",Chickenpox
"cough, shortness of breath, chest pain, fever",Pneumonia
"runny nose, headache, facial pain",Sinusitis
"fever, fatigue, rash, loss of appetite",Chickenpox
"headache, high fever",Malaria
"headache, sweats, high fever",Malaria
"itchy eyes, sneezing, nasal congestion, runny nose",Allergic Rhinitis
"abdominal pain, vomiting, fever, diarrhea",Gastroenteritis
"sore throat, cough, fatigue, muscle pain, chills",Flu
"shortness of breath, dry cough, loss of taste, fatigue",COVID-19
"light sensitivity, dizziness, vomiting, headache",Migraine
"runny nose, itchy eyes, nasal congestion, sneezing",Allergic Rhinitis
"shortness of breath, chest tightness",Asthma
"coughing, chest tightness, shortness of breath",Asthma
"sensitivity to light, headache, high fever",Meningitis
"chest tightness, coughing",Asthma
"fever, vomiting",Gastroenteritis
"high fever, dry cough, fatigue, loss of taste, shortness of breath",COVID-19
"high fever, loss of taste, shortness of breath, dry cough",COVID-19
"headache, nasal congestion, facial pain, runny nose",Sinusitis
"rash, loss of appetite, fever, fatigue",Chickenpox
"sore throat, fatigue",Flu
"night sweats, persistent cough, weight loss",Tuberculosis
"chest tightness, coughing",Asthma
"abdominal pain, fever, diarrhea, vomiting, nausea",Gastroenteritis
"nausea, chills, high fever",Malaria
"shortness of breath, dry cough, fatigue",COVID-19
"light sensitivity, nausea, dizziness, headache",Migraine
"chest pain, weight loss",Tuberculosis
"vomiting, diarrhea",Gastroenteritis
"fatigue, loss of appetite, rash, fever",Chickenpox
"headache, sweats, high fever",Malaria
"headache, high fever, stiff neck",Meningitis
"sore throat, runny nose",Common Cold
"high fever, shortness of breath, loss of taste, dry cough",COVID-19
"persistent cough, night sweats",Tuberculosis
"sweats, high fever",Malaria
"fatigue, loss of taste, shortness of breath",COVID-19
"fever, fatigue, rash",Chickenpox
"runny nose, sneezing",Allergic Rhinitis
"diarrhea, fever, vomiting",Gastroenteritis
"fatigue, persistent cough with mucus",Bronchitis
"runny nose, nasal congestion",Sinusitis
"persistent cough, night sweats, chest pain",Tuberculosis
"wheezing, chest tightness",Asthma
"sweats, chills",Malaria
"dry cough, high fever, fatigue, shortness of breath",COVID-19
"cough, fatigue, sore throat",Flu
"chest pain, night sweats, weight loss",Tuberculosis
"abdominal pain, nausea, vomiting, diarrhea",Gastroenteritis
"fatigue, loss of taste",COVID-19
"night sweats, weight loss, chest pain",Tuberculosis
"dizziness, light sensitivity",Migraine
"headache, muscle pain",Dengue
"fever, chills",Flu
"muscle pain, sore throat, chills",Flu
"headache, facial pain, runny nose, nasal congestion",Sinusitis
"sneezing, nasal congestion, itchy eyes",Allergic Rhinitis
"muscle pain, high fever, joint pain, rash, headache",Dengue
"fever, cough, chest pain, shortness of breath",Pneumonia
"diarrhea, vomiting",Gastroenteritis
"loss of appetite, rash",Chickenpox
"fever, chills",Flu
"fever, fatigue",Flu
"headache, high fever",Malaria
"chest pain, weight loss, night sweats, persistent cough",Tuberculosis
"fatigue, chills",Flu
"muscle pain, rash, headache, joint pain",Dengue
"cough, chest pain, shortness of breath",Pneumonia
"loss of appetite, fatigue, fever, rash",Chickenpox
"chest tightness, shortness of breath, wheezing, coughing",Asthma
"sensitivity to light, stiff neck, high fever",Meningitis
"nausea, fever",Gastroenteritis
"fatigue, chills, sore throat",Flu
"joint pain, high fever, muscle pain, rash",Dengue
"shortness of breath, wheezing, coughing, chest tightness",Asthma
"weight loss, persistent cough, night sweats, chest pain",Tuberculosis
"stiff neck, high fever, headache, sensitivity to light",Meningitis
"fatigue, loss of taste, high fever, dry cough",COVID-19
"nasal congestion, facial pain",Sinusitis
"abdominal pain, fever, diarrhea, nausea",Gastroenteritis
"dizziness, vomiting, headache, light sensitivity",Migraine
"persistent cough with mucus, fatigue, chest discomfort",Bronchitis
"fever, nausea",Gastroenteritis
"sensitivity to light, high fever",Meningitis
"chest pain, fever",Pneumonia
"persistent cough with mucus, fatigue, chest discomfort",Bronchitis
"sneezing, nasal congestion, runny nose",Allergic Rhinitis
"fever, fatigue, sore throat",Flu
"sneezing, sore throat, runny nose, mild headache",Common Cold
"chills, cough, fatigue",Flu
"runny nose, nasal congestion",Sinusitis
"shortness of breath, cough, fever, chest pain",Pneumonia
"rash, muscle pain",Dengue
"abdominal pain, vomiting",Gastroenteritis
"mild headache, sore throat",Common Cold
"nausea, chills, sweats, headache, high fever",Malaria
"chills, sore throat, muscle pain",Flu
"vomiting, abdominal pain, fever, nausea",Gastroenteritis
"mild headache, sneezing, sore throat",Common Cold
"shortness of breath, dry cough",COVID-19
"high fever, shortness of breath, loss of taste, fatigue, dry cough",COVID-19
"wheezing, chest tightness, coughing",Asthma
"fever, diarrhea",Gastroenteritis
"runny nose, mild headache, sore throat",Common Cold
"cough, fever, chest pain, shortness of breath",Pneumonia
"mild headache, sore throat",Common Cold
"chest pain, night sweats",Tuberculosis
"fever, chest pain, shortness of breath, cough",Pneumonia
"coughing, shortness of breath, wheezing",Asthma
"coughing, chest tightness",Asthma
"weight loss, persistent cough",Tuberculosis
"chest tightness, wheezing, coughing, shortness of breath",Asthma
"high fever, sweats, chills",Malaria
"headache, muscle pain",Dengue
"nasal congestion, itchy eyes",Allergic Rhinitis
"muscle pain, fever, fatigue",Flu
"chest tightness, shortness of breath",Asthma
"sensitivity to light, high fever, stiff neck, headache",Meningitis
"nausea, vomiting, dizziness",Migraine
"stiff neck, high fever",Meningitis
"loss of appetite, fever",Chickenpox
"vomiting, diarrhea, fever, nausea",Gastroenteritis
"sore throat, runny nose, sneezing",Common Cold
"headache, nasal congestion",Sinusitis
"light sensitivity, vomiting, dizziness",Migraine
"vomiting, diarrhea, fever, abdominal pain",Gastroenteritis
"fatigue, fever, loss of appetite",Chickenpox
"fatigue, loss of appetite, rash, fever",Chickenpox
"muscle pain, chills",Flu
"sore throat, runny nose, sneezing, mild headache",Common Cold
"itchy eyes, sneezing, runny nose",Allergic Rhinitis
"sensitivity to light, high fever, stiff neck, headache",Meningitis
"runny nose, nasal congestion, facial pain",Sinusitis
"runny nose, mild headache, sore throat, sneezing",Common Cold
"nausea, headache",Migraine
"sweats, high fever, chills, headache",Malaria
"chest pain, cough",Pneumonia
"coughing, shortness of breath, wheezing",Asthma
"runny nose, nasal congestion, facial pain",Sinusitis
"mild headache, sore throat, runny nose, sneezing",Common Cold
"muscle pain, joint pain, headache, rash",Dengue
"headache, light sensitivity, vomiting",Migraine
"high fever, fatigue, shortness of breath, loss of taste",COVID-19
"high fever, joint pain",Dengue
"muscle pain, chills, sore throat",Flu
"cough, chest pain, shortness of breath, fever",Pneumonia
"chills, sweats",Malaria
"nausea, abdominal pain, diarrhea",Gastroenteritis
"shortness of breath, wheezing",Asthma
"persistent cough with mucus, fatigue, chest discomfort",Bronchitis
"rash, fever, fatigue, loss of appetite",Chickenpox
"fatigue, sore throat, fever, cough",Flu
"runny nose, sneezing",Allergic Rhinitis
"light sensitivity, headache, vomiting",Migraine
"diarrhea, fever, vomiting, abdominal pain, nausea",Gastroenteritis
"mild headache, sneezing, runny nose",Common Cold
"headache, high fever, stiff neck, sensitivity to light",Meningitis
"sore throat, runny nose, sneezing",Common Cold
"high fever, headache, chills, nausea, sweats",Malaria
"abdominal pain, nausea, diarrhea, vomiting",Gastroenteritis
"vomiting, diarrhea, fever, nausea, abdominal pain",Gastroenteritis
"runny nose, itchy eyes, nasal congestion",Allergic Rhinitis
"dry cough, shortness of breath, high fever",COVID-19
"weight loss, night sweats",Tuberculosis
"muscle pain, fatigue",Flu
"sweats, high fever, nausea, chills, headache",Malaria
"fatigue, chills, fever",Flu
"diarrhea, nausea, fever, abdominal pain, vomiting",Gastroenteritis
"loss of appetite, fatigue, fever, rash",Chickenpox
"runny nose, nasal congestion, itchy eyes, sneezing",Allergic Rhinitis
"headache, sweats",Malaria
"abdominal pain, vomiting, diarrhea",Gastroenteritis
"vomiting, nausea",Migraine
"fatigue, sore throat, cough",Flu
"runny nose, sneezing, nasal congestion, itchy eyes",Allergic Rhinitis
"rash, loss of appetite, fever",Chickenpox
"runny nose, facial pain, nasal congestion",Sinusitis
"fatigue, sore throat",Flu
"persistent cough with mucus, chest discomfort",Bronchitis
"runny nose, facial pain",Sinusitis
"muscle pain, chills, sore throat, fever",Flu
"sneezing, runny nose, mild headache",Common Cold
"runny nose, headache",Sinusitis
"vomiting, nausea, abdominal pain, diarrhea",Gastroenteritis
"itchy eyes, nasal congestion",Allergic Rhinitis
"shortness of breath, cough, fever",Pneumonia
"fever, shortness of breath",Pneumonia
"sore throat, runny nose, mild headache, sneezing",Common Cold
"fever, nausea, diarrhea",Gastroenteritis
"fatigue, fever",Chickenpox
"high fever, stiff neck, sensitivity to light",Meningitis
"sore throat, mild headache",Common Cold
"headache, vomiting, nausea, dizziness, light sensitivity",Migraine
"chest pain, shortness of breath, fever, cough",Pneumonia
"dry cough, high fever, fatigue",COVID-19
"abdominal pain, vomiting, diarrhea, fever",Gastroenteritis
"fatigue, dry cough",COVID-19
"sneezing, runny nose",Allergic Rhinitis
"fatigue, chest discomfort",Bronchitis
"loss of taste, high fever",COVID-19
"high fever, rash, headache, joint pain",Dengue
"nausea, dizziness, light sensitivity",Migraine
"dry cough, loss of taste, high fever",COVID-19
"cough, fever, shortness of breath",Pneumonia
"persistent cough, night sweats, weight loss, chest pain",Tuberculosis
"dizziness, headache",Migraine
"muscle pain, chills, fatigue",Flu
"sneezing, sore throat, runny nose, mild headache",Common Cold
"chest pain, night sweats, persistent cough, weight loss",Tuberculosis
"runny nose, sore throat",Common Cold
"fatigue, loss of taste, dry cough, shortness of breath",COVID-19
"headache, high fever, muscle pain, rash, joint pain",Dengue
"high fever, nausea, chills, headache, sweats",Malaria
"fever, loss of appetite, rash, fatigue",Chickenpox
"facial pain, nasal congestion, headache",Sinusitis
"chest pain, cough, shortness of breath",Pneumonia
"chest tightness, shortness of breath, coughing",Asthma
"high fever, stiff neck, sensitivity to light, headache",Meningitis
"shortness of breath, chest tightness, coughing, wheezing",Asthma
"vomiting, abdominal pain, nausea, fever, diarrhea",Gastroenteritis
"chest discomfort, fatigue",Bronchitis
"high fever, fatigue, loss of taste, shortness of breath, dry cough",COVID-19
"cough, chest pain, shortness of breath",Pneumonia
"dizziness, headache, light sensitivity, nausea, vomiting",Migraine
"cough, chest pain, shortness of breath",Pneumonia
"fever, cough, shortness of breath",Pneumonia
"headache, joint pain, high fever, rash",Dengue
"persistent cough, weight loss, night sweats, chest pain",Tuberculosis
"sneezing, nasal congestion, runny nose",Allergic Rhinitis
"dizziness, nausea",Migraine
"sweats, nausea, chills, high fever, headache",Malaria
"chills, sweats, high fever, nausea",Malaria
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"shortness of breath, fever, chest pain",Pneumonia
"high fever, chills, nausea, headache",Malaria
"persistent cough with mucus, fatigue",Bronchitis
"persistent cough with mucus, fatigue",Bronchitis
"runny nose, mild headache, sore throat",Common Cold
"nasal congestion, sneezing, runny nose, itchy eyes",Allergic Rhinitis
"muscle pain, sore throat, cough, fever",Flu
"headache, sensitivity to light",Meningitis
"mild headache, runny nose, sneezing",Common Cold
"chest pain, shortness of breath",Pneumonia
"light sensitivity, headache, nausea",Migraine
"fever, rash, fatigue, loss of appetite",Chickenpox
"loss of appetite, fever, fatigue, rash",Chickenpox
"loss of taste, shortness of breath",COVID-19
"vomiting, dizziness, light sensitivity",Migraine
"sensitivity to light, headache, stiff neck, high fever",Meningitis
"stiff neck, sensitivity to light, headache, high fever",Meningitis
"shortness of breath, cough, fever",Pneumonia
"nasal congestion, headache",Sinusitis
"fever, chest pain, cough, shortness of breath",Pneumonia
"fatigue, loss of taste, high fever",COVID-19
"fatigue, persistent cough with mucus",Bronchitis
"chest pain, shortness of breath, cough",Pneumonia
"dry cough, fatigue, high fever, loss of taste",COVID-19
"fever, sore throat, cough",Flu
"persistent cough, chest pain",Tuberculosis
"light sensitivity, dizziness, headache",Migraine
"chills, cough, fever",Flu
"chills, headache, high fever",Malaria
"mild headache, sore throat, sneezing, runny nose",Common Cold
"sweats, headache, chills, nausea",Malaria
"fatigue, persistent cough with mucus",Bronchitis
"sweats, headache, high fever, chills, nausea",Malaria
"rash, headache, high fever, joint pain, muscle pain",Dengue
"chills, cough, fever",Flu
"rash, high fever, muscle pain, headache",Dengue
"chills, headache, high fever, sweats, nausea",Malaria
"runny nose, sneezing, nasal congestion",Allergic Rhinitis
"sore throat, fever, chills",Flu
"shortness of breath, high fever, fatigue, loss of taste",COVID-19
"headache, stiff neck",Meningitis
"chills, nausea, sweats, headache, high fever",Malaria
"muscle pain, high fever, headache, rash, joint pain",Dengue
"stiff neck, sensitivity to light",Meningitis
"runny nose, itchy eyes, sneezing",Allergic Rhinitis
"nausea, light sensitivity, vomiting",Migraine
"sore throat, muscle pain, cough",Flu
"shortness of breath, fever, cough, chest pain",Pneumonia
"fatigue, rash, loss of appetite, fever",Chickenpox
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"chest pain, night sweats, weight loss, persistent cough",Tuberculosis
"loss of appetite, fever, fatigue, rash",Chickenpox
"chest discomfort, fatigue, persistent cough with mucus",Bronchitis
"fatigue, fever",Flu
"chills, high fever",Malaria
"runny nose, mild headache, sneezing",Common Cold
"high fever, stiff neck",Meningitis
"coughing, chest tightness, wheezing",Asthma
"sneezing, sore throat, runny nose",Common Cold
"chills, fever, sore throat, cough",Flu
"coughing, chest tightness, wheezing, shortness of breath",Asthma
"abdominal pain, diarrhea, nausea, vomiting",Gastroenteritis
"itchy eyes, runny nose",Allergic Rhinitis
"abdominal pain, nausea",Gastroenteritis
"vomiting, abdominal pain",Gastroenteritis
"loss of appetite, rash, fever, fatigue",Chickenpox
"night sweats, weight loss",Tuberculosis
"loss of appetite, fatigue, fever",Chickenpox
"fatigue, fever, rash",Chickenpox
"muscle pain, chills, fatigue, sore throat, fever",Flu
"mild headache, sore throat",Common Cold
"fever, chills",Flu
"fever, chills, sore throat, cough, fatigue",Flu
"shortness of breath, high fever, fatigue, loss of taste",COVID-19
"runny nose, sneezing, mild headache",Common Cold
"runny nose, mild headache, sore throat, sneezing",Common Cold
"fever, rash, loss of appetite",Chickenpox
"runny nose, sneezing, nasal congestion, itchy eyes",Allergic Rhinitis
"headache, rash, high fever",Dengue
"fever, nausea, abdominal pain, diarrhea, vomiting",Gastroenteritis
"fatigue, cough, fever, chills",Flu
"vomiting, nausea",Gastroenteritis
"shortness of breath, chest pain, fever",Pneumonia
"coughing, wheezing, chest tightness, shortness of breath",Asthma
"shortness of breath, cough, fever, chest pain",Pneumonia
"diarrhea, fever, vomiting, abdominal pain",Gastroenteritis
"nausea, diarrhea, abdominal pain, vomiting",Gastroenteritis
"dry cough, high fever",COVID-19
"rash, muscle pain",Dengue
"persistent cough with mucus, fatigue, chest discomfort",Bronchitis
"dizziness, nausea, vomiting, headache, light sensitivity",Migraine
"fever, sore throat, chills",Flu
"cough, chest pain",Pneumonia
"headache, chills, high fever",Malaria
"mild headache, runny nose, sneezing",Common Cold
"headache, high fever",Dengue
"cough, shortness of breath",Pneumonia
"nausea, high fever",Malaria
"nasal congestion, sneezing",Allergic Rhinitis
"shortness of breath, chest pain",Pneumonia
"persistent cough, chest pain, night sweats, weight loss",Tuberculosis
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"sore throat, mild headache",Common Cold
"muscle pain, sore throat, fever",Flu
"persistent cough, weight loss, chest pain, night sweats",Tuberculosis
"chest discomfort, persistent cough with mucus",Bronchitis
"facial pain, runny nose, nasal congestion",Sinusitis
"chest tightness, wheezing, coughing",Asthma
"light sensitivity, nausea, headache, dizziness",Migraine
"loss of appetite, rash, fever",Chickenpox
"chest pain, fever, shortness of breath",Pneumonia
"sore throat, sneezing, runny nose",Common Cold
"itchy eyes, runny nose, nasal congestion, sneezing",Allergic Rhinitis
"itchy eyes, runny nose",Allergic Rhinitis
"night sweats, weight loss, chest pain, persistent cough",Tuberculosis
"shortness of breath, fever",Pneumonia
"fatigue, persistent cough with mucus",Bronchitis
"abdominal pain, vomiting, diarrhea, fever, nausea",Gastroenteritis
"chills, nausea, high fever",Malaria
"headache, high fever, chills",Malaria
"facial pain, headache",Sinusitis
"headache, nausea, sweats",Malaria
"cough, fatigue, muscle pain, sore throat",Flu
"fatigue, dry cough, loss of taste, shortness of breath",COVID-19
"sore throat, chills, fatigue, cough, muscle pain",Flu
"high fever, fatigue, loss of taste",COVID-19
"sneezing, sore throat",Common Cold
"dizziness, headache, light sensitivity, vomiting",Migraine
"runny nose, facial pain, nasal congestion, headache",Sinusitis
"nausea, chills",Malaria
"night sweats, weight loss, persistent cough, chest pain",Tuberculosis
"fatigue, persistent cough with mucus, chest discomfort",Bronchitis
"wheezing, chest tightness",Asthma
"wheezing, shortness of breath, coughing, chest tightness",Asthma
"headache, facial pain, nasal congestion",Sinusitis
"fever, fatigue, rash, loss of appetite",Chickenpox
"runny nose, sneezing, mild headache",Common Cold
"fatigue, shortness of breath",COVID-19
"sensitivity to light, stiff neck, headache",Meningitis
"fatigue, persistent cough with mucus",Bronchitis
"high fever, headache, sensitivity to light",Meningitis
"dizziness, vomiting, headache, light sensitivity",Migraine
"sneezing, itchy eyes, nasal congestion, runny nose",Allergic Rhinitis
"chest pain, persistent cough, weight loss",Tuberculosis
"joint pain, headache, rash, high fever, muscle pain",Dengue
"stiff neck, high fever",Meningitis
"shortness of breath, wheezing, chest tightness, coughing",Asthma
"fever, loss of appetite",Chickenpox
"coughing, shortness of breath",Asthma
"shortness of breath, coughing",Asthma
"vomiting, dizziness, light sensitivity, headache, nausea",Migraine
"sore throat, sneezing, runny nose, mild headache",Common Cold
"shortness of breath, dry cough, high fever, fatigue",COVID-19
"loss of appetite, fever, rash, fatigue",Chickenpox
"sensitivity to light, headache, stiff neck",Meningitis
"sore throat, mild headache, runny nose, sneezing",Common Cold
"abdominal pain, diarrhea, nausea, vomiting",Gastroenteritis
"vomiting, diarrhea, nausea",Gastroenteritis
"sneezing, nasal congestion",Allergic Rhinitis
